Statistische Informationssystem Berlin-Brandenburg (StatIS-BBB)

"Binnenwanderung im Land Berlin bis 2013 (1)"
"Jahre nach Herkunftsgebiet nach Zielgebiet"
"Zählen: Anzahl"

Filter:
"Datenbasis";"Anzahl"

" 2013"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2984;;3821;;2620;;1326;;1269;;1948;;1847;;684;;731;;1340;;3413;;
"02 Friedrichshain-Kreuzberg";2794;;-;;2893;;1021;;371;;820;;2086;;3828;;1226;;668;;2266;;510;;
"03 Pankow";3097;;2556;;-;;841;;376;;544;;805;;1021;;913;;969;;2274;;1217;;
"04 Charlottenburg-Wilmersdorf";2425;;1127;;1029;;-;;1945;;2555;;2406;;1031;;341;;291;;505;;1100;;
"05 Spandau";962;;431;;620;;1379;;-;;534;;582;;387;;390;;385;;468;;1080;;
"06 Steglitz-Zehlendorf";1110;;625;;499;;1965;;558;;-;;2576;;853;;322;;213;;395;;590;;
"07 Tempelhof-Schöneberg";1752;;1427;;827;;2291;;721;;2988;;-;;2476;;529;;371;;546;;737;;
"08 Neukölln";1885;;2765;;1038;;1029;;613;;1087;;2662;;-;;1599;;472;;811;;789;;
"09 Treptow-Köpenick";553;;727;;719;;336;;233;;282;;488;;982;;-;;1056;;1191;;268;;
"10 Marzahn-Hellersdorf";469;;435;;831;;253;;234;;188;;316;;260;;1042;;-;;1922;;256;;
"11 Lichtenberg";976;;1156;;1881;;480;;311;;303;;457;;509;;1258;;2635;;-;;509;;
"12 Reinickendorf";1988;;425;;1090;;875;;998;;470;;598;;478;;259;;381;;434;;-;;


" 2005"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2915;;3662;;2899;;1149;;1224;;2127;;1918;;663;;555;;1112;;3509;;
"02 Friedrichshain-Kreuzberg";2649;;-;;2852;;1248;;414;;891;;2099;;3843;;1238;;892;;2051;;511;;
"03 Pankow";3025;;3029;;-;;683;;266;;439;;670;;762;;952;;1125;;2613;;898;;
"04 Charlottenburg-Wilmersdorf";2659;;1248;;909;;-;;1655;;2695;;2789;;1050;;329;;138;;275;;990;;
"05 Spandau";961;;393;;308;;1575;;-;;466;;639;;521;;203;;153;;290;;709;;
"06 Steglitz-Zehlendorf";1026;;804;;478;;2397;;437;;-;;2854;;1123;;291;;143;;195;;469;;
"07 Tempelhof-Schöneberg";1918;;1831;;795;;2986;;1123;;3641;;-;;3164;;518;;684;;555;;705;;
"08 Neukölln";1880;;3073;;795;;1376;;605;;1304;;3447;;-;;1537;;352;;555;;697;;
"09 Treptow-Köpenick";514;;984;;715;;250;;163;;279;;410;;999;;-;;1139;;1299;;151;;
"10 Marzahn-Hellersdorf";521;;797;;1189;;193;;169;;168;;197;;301;;1288;;-;;2663;;188;;
"11 Lichtenberg";838;;1590;;2152;;332;;183;;239;;268;;537;;1386;;2681;;-;;232;;
"12 Reinickendorf";2400;;442;;1189;;942;;788;;466;;586;;593;;193;;169;;302;;-;;


" 2006"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2871;;3622;;2666;;1171;;1216;;1932;;1767;;594;;537;;1035;;3519;;
"02 Friedrichshain-Kreuzberg";2713;;-;;2818;;1198;;295;;756;;2092;;3758;;1241;;793;;1952;;470;;
"03 Pankow";3060;;2954;;-;;670;;265;;498;;657;;770;;921;;1045;;2431;;878;;
"04 Charlottenburg-Wilmersdorf";2566;;1227;;872;;-;;1619;;2631;;2569;;1019;;292;;152;;308;;863;;
"05 Spandau";938;;398;;312;;1636;;-;;469;;657;;513;;255;;160;;357;;698;;
